cr5,cr3,cr2,cr1,cr4,cost
1,0,1,0,2,3050
1,0,0,3,2,3100
1,0,1,1,2,3150
1,0,0,4,2,3200
0,0,0,0,4,3200
1,0,1,2,2,3250
1,0,2,0,2,3300
1,0,0,5,2,3300
1,1,0,0,2,3300
0,0,0,1,4,3300
1,0,1,3,2,3350
1,0,2,1,2,3400
1,0,0,6,2,3400
1,1,0,1,2,3400
0,0,4,0,3,3400
0,0,2,5,3,3400
0,1,2,0,3,3400
0,0,0,2,4,3400
0,0,0,10,3,3400
0,1,0,5,3,3400
0,2,0,0,3,3400
1,0,1,4,2,3450
0,0,3,3,3,3450
0,0,1,0,4,3450
0,0,1,8,3,3450
0,1,1,3,3,3450
1,0,6,0,1,3500
1,0,4,5,1,3500
1,1,4,0,1,3500
1,0,2,2,2,3500
1,0,2,10,1,3500
1,1,2,5,1,3500
1,2,2,0,1,3500
1,0,0,7,2,3500
1,1,0,2,2,3500
1,0,0,15,1,3500
1,1,0,10,1,3500
1,2,0,5,1,3500
1,3,0,0,1,3500
0,0,4,1,3,3500
0,0,2,6,3,3500
0,1,2,1,3,3500
0,0,0,3,4,3500
0,0,0,11,3,3500
0,1,0,6,3,3500
0,2,0,1,3,3500
1,0,5,3,1,3550
1,0,3,0,2,3550
1,0,3,8,1,3550
1,1,3,3,1,3550
1,0,1,5,2,3550
1,1,1,0,2,3550
1,0,1,13,1,3550
1,1,1,8,1,3550
1,2,1,3,1,3550
0,0,3,4,3,3550
0,0,1,1,4,3550
0,0,1,9,3,3550
0,1,1,4,3,3550
1,0,6,1,1,3600
1,0,4,6,1,3600
1,1,4,1,1,3600
1,0,2,3,2,3600
1,0,2,11,1,3600
1,1,2,6,1,3600
1,2,2,1,1,3600
1,0,0,0,3,3600
1,0,0,8,2,3600
1,1,0,3,2,3600
1,0,0,16,1,3600
1,1,0,11,1,3600
1,2,0,6,1,3600
1,3,0,1,1,3600
0,0,4,2,3,3600
0,0,2,7,3,3600
0,1,2,2,3,3600
0,0,0,4,4,3600
0,0,0,12,3,3600
0,1,0,7,3,3600
0,2,0,2,3,3600
1,0,5,4,1,3650
1,0,3,1,2,3650
1,0,3,9,1,3650
1,1,3,4,1,3650
1,0,1,6,2,3650
1,1,1,1,2,3650
1,0,1,14,1,3650
1,1,1,9,1,3650
1,2,1,4,1,3650
0,0,5,0,3,3650
0,0,3,5,3,3650
0,1,3,0,3,3650
0,0,1,2,4,3650
0,0,1,10,3,3650
0,1,1,5,3,3650
0,2,1,0,3,3650
1,0,6,2,1,3700
1,0,4,7,1,3700
1,1,4,2,1,3700
1,0,2,4,2,3700
1,0,2,12,1,3700
1,1,2,7,1,3700
1,2,2,2,1,3700
1,0,0,1,3,3700
1,0,0,9,2,3700
1,1,0,4,2,3700
1,0,0,17,1,3700
1,1,0,12,1,3700
1,2,0,7,1,3700
1,3,0,2,1,3700
0,0,4,3,3,3700
0,0,2,0,4,3700
0,0,2,8,3,3700
0,1,2,3,3,3700
0,0,0,5,4,3700
0,1,0,0,4,3700
0,0,0,13,3,3700
0,1,0,8,3,3700
0,2,0,3,3,3700
1,0,7,0,1,3750
1,0,5,5,1,3750
1,1,5,0,1,3750
1,0,3,2,2,3750
1,0,3,10,1,3750
1,1,3,5,1,3750
1,2,3,0,1,3750
1,0,1,7,2,3750
1,1,1,2,2,3750
1,0,1,15,1,3750
1,1,1,10,1,3750
1,2,1,5,1,3750
1,3,1,0,1,3750
0,0,5,1,3,3750
0,0,3,6,3,3750
0,1,3,1,3,3750
0,0,1,3,4,3750
0,0,1,11,3,3750
0,1,1,6,3,3750
0,2,1,1,3,3750
1,0,6,3,1,3800
1,0,4,0,2,3800
1,0,4,8,1,3800
1,1,4,3,1,3800
1,0,2,5,2,3800
1,1,2,0,2,3800
