finalva,va,finalvb,vb,vc,finalvc,differ,maxpop
276,264,6188,6171,3029,3012,46,9500
276,264,6116,6172,3029,3012,85,9500
204,265,6188,6171,3029,3012,95,9500
276,264,6188,6171,3030,2940,119,9500
276,264,6116,6172,3028,3084,124,9500
204,265,6188,6171,3028,3084,134,9500
204,265,6116,6172,3029,3012,134,9500
348,263,6116,6172,3029,3012,158,9500
276,264,6116,6172,3030,2940,158,9500
276,264,6044,6173,3029,3012,158,9500
204,265,6260,6170,3029,3012,168,9500
204,265,6188,6171,3030,2940,168,9500
132,266,6188,6171,3029,3012,168,9500
204,265,6116,6172,3028,3084,173,9500
348,263,6188,6171,3030,2940,192,9500
276,264,6260,6170,3030,2940,192,9500
276,264,6044,6173,3028,3084,197,9500
204,265,6116,6172,3030,2940,207,9500
204,265,6044,6173,3029,3012,207,9500
132,266,6188,6171,3028,3084,207,9500
132,266,6116,6172,3029,3012,207,9500
348,263,6116,6172,3030,2940,231,9500
348,263,6044,6173,3029,3012,231,9500
276,264,6044,6173,3030,2940,231,9500
204,265,6260,6170,3030,2940,241,9500
132,266,6260,6170,3029,3012,241,9500
132,266,6188,6171,3030,2940,241,9500
204,265,6116,6172,3027,3156,246,9500
204,265,6044,6173,3028,3084,246,9500
132,266,6116,6172,3028,3084,246,9500
348,263,6044,6173,3028,3084,270,9500
276,264,6044,6173,3027,3156,270,9500
204,265,6044,6173,3030,2940,280,9500
132,266,6260,6170,3028,3084,280,9500
132,266,6188,6171,3027,3156,280,9500
132,266,6116,6172,3030,2940,280,9500
132,266,6044,6173,3029,3012,280,9500
348,263,6044,6173,3030,2940,304,9500
132,266,6260,6170,3030,2940,314,9500
204,265,6044,6173,3027,3156,319,9500
132,266,6116,6172,3027,3156,319,9500
132,266,6044,6173,3028,3084,319,9500
132,266,6044,6173,3030,2940,353,9500
132,266,6044,6173,3027,3156,392,9500
